"Code","County","2013","2014","2015","2016","2017"
"30","Baringo",46605,48478,53580,53480,53810
"36","Bomet",62931,64794,63292,68163,69128
"39","Bungoma",37112,42417,42312,43978,46244
"40","Busia",54696,57869,60693,61788,67404
"28","Elgeyo Marakwet",88660,89844,97289,106889,112502
"14","Embu",88118,84258,93070,88904,93013
"7","Garissa",49357,49618,50792,51543,52099
"43","Homa Bay",39989,41609,42252,44066,45019
"11","Isiolo",50571,52813,55689,56404,58907
"34","Kajiado",66828,68145,70293,74360,72738
"37","Kakamega",43049,44728,46824,47397,47843
"35","Kericho",71787,72517,71912,75974,74469
"22","Kiambu",98566,102992,109361,114762,118343
"3","Kilifi",43635,43338,46236,45007,45853
"20","Kirinyaga",77364,80530,82035,84866,86137
"45","Kisii",50274,51667,53518,54647,56455
"42","Kisumu",94751,97540,97735,99681,99504
"15","Kitui",43810,41741,49799,44354,47122
"2","Kwale",50111,50411,51528,52401,54439
"31","Laikipia",61943,63618,69318,76775,74205
"5","Lamu",101008,97541,104671,100734,106557
"16","Machakos",95622,97742,106747,107475,111668
"17","Makueni",49186,50983,55492,56100,54907
"9","Mandera",25867,26594,27287,27968,28602
"10","Marsabit",49771,48432,53796,55407,57541
"12","Meru",60194,64252,67570,69843,70759
"44","Migori",39582,42089,43258,43740,47521
"1","Mombasa",150156,152625,153030,159418,168448
"21","Muranga",69845,72195,73288,76377,77301
"47","Nairobi",212543,208509,208733,211055,212498
"32","Nakuru",88248,93801,95806,101684,102826
"29","Nandi",60328,60361,60304,63331,60229
"33","Narok",68245,67273,68569,70591,70887
"46","Nyamira",64818,67841,65233,74876,70822
"18","Nyandarua",89072,94203,103975,111622,117295
"19","Nyeri",82090,90138,89475,94029,98717
"25","Samburu",41494,43038,41637,45383,44147
"41","Siaya",35434,38321,42240,43012,44633
"6","Taita Taveta",62571,66998,65623,70828,70316
"4","Tana River",56300,68069,54308,58191,57740
"13","Tharaka Nithi",66098,69398,73654,75998,87106
"26","Trans Nzoia",57666,58815,60482,57998,58725
"23","Turkana",37753,38277,39982,39699,38592
"27","Uasin-Gishu",73952,77556,78891,80816,77772
"38","Vihiga",41477,44044,46615,48267,49330
"8","Wajir",41652,41998,43455,43864,44712
"24","West Pokot",36077,36926,38111,39493,38021
