"COUNTY","Año","Ratio","BEvo","AUSbi","TAMsatT","TAMsatD","ETat","GCP"
"Baringo","X2013",0,689148.8,257.736790661175,348,-412,5.6742607692272,46605
"Baringo","X2014",0,703988,259.122314584908,776.7,428.7,5.48764456212322,48478
"Baringo","X2015",0,718827.2,268.150676546463,610.4,-166.3,8.12995112038053,53580
"Baringo","X2016",0,722524.3,271.741725503211,770.8,160.4,7.49884813562672,53480
"Baringo","X2017",0,703937.2,283.64888231507,1137.3,366.5,8.61753008649067,53810
"Bomet","X2013",0,901922.2,310.74409743989,1322.4,65.2,4.39086652928601,62931
"Bomet","X2014",0,916162,313.882260997509,1509.6,187.2,4.46965497914124,64794
"Bomet","X2015",0,930401.8,324.659733031471,1542.4,32.8,5.7592966823581,63292
"Bomet","X2016",0,936083.2,330.51121951553,1718.8,176.4,5.95410749813692,68163
"Bomet","X2017",0.0376143574630363,924647.8,340.447465510652,1513.4,-205.4,6.47902909626779,69128
"Bungoma","X2013",0.00963314413575631,1537487.2,396.26085992781,1285.1,-70,6.02869409254269,37112
"Bungoma","X2014",0.0173816958166851,1553608,401.869712308382,1315.5,30.4,4.73204334040504,42417
"Bungoma","X2015",0.0172031892861802,1569728.8,424.336993753316,1222.1,-93.4,6.35286808778688,42312
"Bungoma","X2016",0.0169893612576552,1589485.4,425.910801068069,1322.4,100.3,5.91199516522769,43978
"Bungoma","X2017",0.0167052981641284,1616513.6,425.800933564679,1484.8,162.4,6.38448696008496,46244
"Busia","X2013",0.00271143807967008,831676.4,348.598325021607,1715.8,46.5,5.18372289991636,54696
"Busia","X2014",0.00675216777647111,840437,352.602277148674,1653.1,-62.7,4.82958884485095,57869
"Busia","X2015",0.0203981362867971,849197.6,354.87500200189,1510.8,-142.3,7.38355831434286,60693
"Busia","X2016",0.0201676586256912,858902.3,349.728950545365,1670.3,159.5,7.48483267538112,61788
"Busia","X2017",0.0198990739744699,870495.2,350.678556297611,1802.9,132.6,8.04617877272614,67404
"Elgeyo/Marakwet","X2013",0,458993.2,318.823895430259,666.2,189.7,7.05204347253946,88660
"Elgeyo/Marakwet","X2014",0,468943,320.65517557571,799.4,133.2,6.0673374056122,89844
"Elgeyo/Marakwet","X2015",0,478892.8,318.4386985981,650.1,-149.3,8.04002482392719,97289
"Elgeyo/Marakwet","X2016",0,482421.4,319.320411573782,659.5,9.4,8.0897116089792,106889
"Elgeyo/Marakwet","X2017",0,473107.6,331.288273534393,893.2,233.7,8.89539715701037,112502
"Embu","X2013",0.00635790015177624,556375,285.801842282633,431.3,236.4,6.83691754661874,88118
"Embu","X2014",0.00631878642372714,559819,293.234063152555,259.7,-171.6,0.605465868432476,84258
"Embu","X2015",0.00942022651126873,563263,305.487844932119,321.1,61.4,8.65618725178114,93070
"Embu","X2016",0.00931112398140739,569863,309.481401670226,201.8,-119.3,8.907702377589,88904
"Embu","X2017",0.00967629103946376,582775,308.323109261722,266.1,64.3,9.77394363176183,93013
"Garissa","X2013",0,463756.8,294.669533686622,1012.7,-185.9,10.45159876901,49357
"Garissa","X2014",0,523495.5,266.017568441372,1164.7,152,9.59183989738212,49618
"Garissa","X2015",0,583234.2,252.245152976283,1195.5,30.8,12.6220135924814,50792
"Garissa","X2016",0,644889.3,234.423179296044,1226.9,31.4,10.7715851387207,51543
"Garissa","X2017",0,710377.2,216.017631196497,1330.9,104,11.0911780389348,52099
"Homa Bay","X2013",0,1111695,347.817521892246,390.6,263.5,5.27742771173748,39989
"Homa Bay","X2014",0,1126386,352.408499395412,387.2,-3.4,4.35226687476584,41609
"Homa Bay","X2015",0.00378574476868033,1141077,357.249335496202,368.3,-18.9,5.4004681542087,42252
"Homa Bay","X2016",0.00375970897586669,1148978.9,358.328599419885,266.6,-101.7,5.72442191932332,44066
"Homa Bay","X2017",0.00377837528175956,1143302.6,366.301974647832,434,167.4,6.46495512211728,45019
"Isiolo","X2013",0,154516.4,256.69767092684,415.1,55.3,18.0141395994212,50571
"Isiolo","X2014",0,155478.5,260.08097582624,637,221.9,17.1031179680792,52813
