"2013","2014","2015","2016","2017","COUNTY"
0,0,0,0,0,"BARINGO"
0,0,0,0,0.0376143574630363,"BOMET"
0.00952838967755614,0.0172329086882864,0.0170559301717541,0.016843932508843,0.0165623009923278,"BUNGOMA"
0.00298258188763709,0.00720342892910603,0.0208447420818877,0.0206092182411876,0.0203347530791187,"BUSIA"
0,0,0,0,0,"ELGEYO MARAKWET"
0.00705726916847163,0.00701385293033713,0.0104564514275083,0.0103353476193622,0.010677821913293,"EMBU"
0,0,0,0,0,"GARISSA"
0,0,0.00378574476868033,0.00375970897586669,0.00377837528175956,"HOMA BAY"
0,0,0,0,0,"ISIOLO"
0,0,0,0,0,"KAJIADO"
0.00689525809750983,0.00789858810593966,0.00793201406602559,0.00800897792980626,0.00828855636613934,"KAKAMEGA"
0,0,0,0,0,"KERICHO"
0.0002744216113249,0.000542382960563885,0.000536073012630019,0.000518008791567247,0.00249733404282995,"KIAMBU"
0,0,0,0,0,"KILIFI"
0,0,0,0,0,"KIRINYAGA"
0.00273597787804108,0.00270028251821691,0.00399939026971781,0.0039970408440052,0.0040952439553443,"KISII"
0,0,0,0,0.00996774444359349,"KISUMU"
0.00350195175237453,0.00348053216826783,0.00519052660292395,0.00515692386279904,0.00511933911703148,"KITUI"
0,0,0,0,0.000585007738725328,"KWALE"
0,0,0,0,0,"LAIKIPIA"
0,0,0,0,0,"LAMU"
0,0,0,0,0,"MACHAKOS"
0,0,0,0,0.000413419030305572,"MAKUENI"
0,0,0,0,0.000716676274343587,"MANDERA"
0,0,0,0,0,"MARSABIT"
0,0,0,0,0,"MERU"
0,0,0,0,0,"MIGORI"
0,0,0,0,0,"MOMBASA"
0,0,0,0,0,"MURANGA"
0.000717387039772778,0.00093809125334175,0.00102648052223635,0.00136461044188369,0.00145924835380764,"NAIROBI"
0,0,0,0,0,"NAKURU"
0,0,0,0,0,"NANDI"
0,0,0,0,0.000423894945789608,"NAROK"
0,0,0,0,0,"NYAMIRA"
0,0,0,0,0,"NYANDARUA"
0,0,0,0,0.000386338318846141,"NYERI"
0,0,0,0,0,"SAMBURU"
0.0146956780995405,0.0480996940462723,0.0514528421942564,0.0510790155460827,0.0799212122116194,"SIAYA"
0,0,0,0,0,"TAITA TAVETA"
0,0,0,0,0,"TANA RIVER"
0,0,0,0,0,"THARAKA"
0,0,0,0,0,"TRANS-NZOIA"
0,0,0,0,0,"TURKANA"
0,0,0,0,0,"UASIN GISHU"
0.0182404246857202,0.0207872267595567,0.0205692335202636,0.0205808585100416,0.021058488485694,"VIHIGA"
0,0,0,0,0,"WAJIR"
0,0,0,0,0.000820269951895381,"WEST POKOT"
