"2013","2014","2015","2016","2017","COUNTY"
0,0,0,0,0,"BARINGO"
0,0,0,0,0.0376143574630363,"BOMET"
0.00963314413575631,0.0173816958166851,0.0172031892861802,0.0169893612576552,0.0167052981641284,"BUNGOMA"
0.00271143807967008,0.00675216777647111,0.0203981362867971,0.0201676586256912,0.0198990739744699,"BUSIA"
0,0,0,0,0,"ELGEYO MARAKWET"
0.00635790015177624,0.00631878642372714,0.00942022651126873,0.00931112398140739,0.00967629103946376,"EMBU"
0,0,0,0,0,"GARISSA"
0,0,0.00378574476868033,0.00375970897586669,0.00377837528175956,"HOMA BAY"
0,0,0,0,0,"ISIOLO"
0,0,0,0,0,"KAJIADO"
0.00685944028461245,0.00785505868055839,0.00788093168389477,0.00795017172372487,0.00822937037856967,"KAKAMEGA"
0,0,0,0,0,"KERICHO"
0.0002744216113249,0.000542382960563885,0.000536073012630019,0.000518008791567247,0.00249733404282995,"KIAMBU"
0,0,0,0,0,"KILIFI"
0,0,0,0,0,"KIRINYAGA"
0.00273597787804108,0.00270028251821691,0.00399939026971781,0.0039970408440052,0.0040952439553443,"KISII"
0,0,0,0,0.00996774444359349,"KISUMU"
0.00322018551942486,0.00320048935013134,0.00477134663146308,0.00474045760359208,0.00470590815151694,"KITUI"
0,0,0,0,0.000585007738725328,"KWALE"
0,0,0,0,0,"LAIKIPIA"
0,0,0,0,0,"LAMU"
0,0,0,0,0,"MACHAKOS"
0,0,0,0,0.000413419030305572,"MAKUENI"
0,0,0,0,0.000716676274343587,"MANDERA"
0,0,0,0,0,"MARSABIT"
0,0,0,0,0,"MERU"
0,0,0,0,0,"MIGORI"
0,0,0,0,0,"MOMBASA"
0,0,0,0,0,"MURANGA"
0.000717387039772778,0.00093809125334175,0.00102648052223635,0.00136461044188369,0.00145924835380764,"NAIROBI"
0,0,0,0,0,"NAKURU"
0,0,0,0,0,"NANDI"
0,0,0,0,0.000423894945789608,"NAROK"
0,0,0,0,0,"NYAMIRA"
0,0,0,0,0,"NYANDARUA"
0,0,0,0,0.000386338318846141,"NYERI"
0,0,0,0,0,"SAMBURU"
0.0146956780995405,0.0480996940462723,0.0515547031922495,0.0511801364808677,0.0800227160925239,"SIAYA"
0,0,0,0,0,"TAITA TAVETA"
0,0,0,0,0,"TANA RIVER"
0,0,0,0,0,"THARAKA"
0,0,0,0,0,"TRANS-NZOIA"
0,0,0,0,0,"TURKANA"
0,0,0,0,0,"UASIN GISHU"
0.0182404246857202,0.0207872267595567,0.0205692335202636,0.0205808585100416,0.021058488485694,"VIHIGA"
0,0,0,0,0,"WAJIR"
0,0,0,0,0.000820269951895381,"WEST POKOT"
